Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
9,13,20,14,9,6,6,6,5.5,6,6,6.5,9,8,9,9,8,9,9,3,2,3,3.5,2,3,2.5,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1397,4
12,13,22,13,10,7,6,6,6,6,7,8.5,8,9,9,10,9,9,8,1,3,3,4,3,2,0.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1397,13
11,13,23,18,11,6,6,5,6,6.5,6,7.5,9,10,9,9,10,9,9,3,4,4,3,3.5,3,1.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1397,16
7,10,17,14,8,5.5,6,6,5,5.5,7,6.5,8,8,8,8,7,9,8,2.5,2,2,3,1.5,2,1.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1397,27
5,9,13,13,8,4,4.5,4.5,4,4.5,5.5,6.5,8,8,9,9,8,7,8,4,3.5,4.5,5,3.5,1.5,1.5,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1397,31
11,13,20,18,8,5,4.5,4.5,4,4,5,5.5,8,9,8,8,6,9,9,3,4.5,3.5,4,2,4,3.5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1397,35
7,14,20,13,8,6.5,6,5.5,4,5,6,6.5,8,8,8,8,9,8,9,1.5,2,2.5,4,4,2,2.5,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1397,60
9,12,18,19,6,5,4.5,5,4,4.5,5.5,3.5,8,9,6,7,10,8,9,3,4.5,1,3,5.5,2.5,5.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1397,70
10,12,17,16,10,5,4.5,4.5,4.5,4,6,6,9,9,10,9,8,8,10,4,4.5,5.5,4.5,4,2,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1397,75
14,7,11,15,11,5.5,5,6,5,6,6,7,9,9,9,9,10,8,8,3.5,4,3,4,4,2,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1397,86
