Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
5,11,17,18,6,4.5,4,4.5,4,4.5,5,5.5,8,8,9,10,10,8,8,3.5,4,4.5,6,5.5,3,2.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1402,36
12,12,15,16,11,6.5,5,6,4.5,5,5.5,6,7,6,8,6,6,8,10,0.5,1,2,1.5,1,2.5,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1402,42
8,11,19,17,13,6,5,4.5,4.5,5,5,5.5,9,9,8,9,7,9,9,3,4,3.5,4.5,2,4,3.5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1402,47
9,2,17,9,9,5,4.5,6,4,5,6,6.5,9,9,10,10,9,9,10,4,4.5,4,6,4,3,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1402,50
6,9,17,11,11,5,5,5,4.5,6,5,6,7,7,8,8,9,7,8,2,2,3,3.5,3,2,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1402,87
7,10,16,12,11,5,4.5,5,4.5,4.5,5,6,6,7,8,8,8,7,7,1,2.5,3,3.5,3.5,2,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1402,91
11,10,17,13,11,4,4.5,4,4,4.5,5,5.5,8,8,9,9,9,9,9,4,3.5,5,5,4.5,4,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1402,92
7,8,16,17,7,5.5,6,6,5,5.5,6.5,4.5,10,10,9,10,9,10,9,4.5,4,3,5,3.5,3.5,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1402,104
12,12,19,19,9,6,4.5,5,4.5,5.5,6,5.5,8,8,9,9,8,9,8,2,3.5,4,4.5,2.5,3,2.5,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1402,123
4,11,14,15,6,4.5,4,4,4,5,6,5.5,8,9,10,10,9,10,10,3.5,5,6,6,4,4,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1402,128
7,8,16,17,2,5.5,5,4.5,4,5.5,5,7.5,8,8,9,8,9,9,10,2.5,3,4.5,4,3.5,4,2.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1402,149
8,13,15,13,0,5.5,6,5.5,6,6,6.5,9,9,10,9,10,10,10,10,3.5,4,3.5,4,4,3.5,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1402,156
10,11,18,15,10,6.5,6,5.5,5,6.5,6.5,7.5,10,10,9,9,9,10,10,3.5,4,3.5,4,2.5,3.5,2.5,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1402,157
12,10,18,14,6,5.5,5,5,4.5,5.5,5,8.5,6,7,8,8,7,6,6,0.5,2,3,3.5,1.5,1,2.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1402,171
10,12,18,19,7,6,5,4.5,4.5,5,5,6,9,9,9,9,10,9,9,3,4,4.5,4.5,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1402,177
7,10,17,12,12,5,5,5,4.5,5,5.5,5,7,9,8,8,7,8,8,2,4,3,3.5,2,2.5,3,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1402,178
11,9,15,18,1,4.5,5,5,4,5,5.5,5.5,7,8,8,7,9,8,6,2.5,3,3,3,4,2.5,0.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1402,179
11,8,17,18,10,6.5,5,4,4,5,5.5,6,10,10,9,8,8,9,10,3.5,5,5,4,3,3.5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1402,197
10,9,14,16,11,5,4.5,4.5,4,4,4.5,4.5,6,7,8,8,6,6,6,1,2.5,3.5,4,2,1.5,1.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1402,207
7,12,19,18,9,0,6.5,5.5,5.5,6,6.5,7.5,9,9,8,9,10,7,8,9,2.5,2.5,3.5,4,0.5,0.5,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1402,208
