Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
13,12,19,16,11,7,5.5,6.5,5.5,6.5,6.5,7.5,9,9,9,9,9,9,9,2,3.5,2.5,3.5,2.5,2.5,1.5,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1394,1
10,9,18,17,7,5.5,6,6,4.5,5,6,7.5,8,8,9,9,6,9,9,2.5,2,3,4.5,1,3,1.5,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1394,3
12,11,18,19,11,6,5.5,5,4.5,5,6,5.5,8,7,8,8,7,9,9,2,1.5,3,3.5,2,3,3.5,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1394,19
9,10,17,15,10,5,4.5,4.5,4,5,5,6.5,7,7,7,7,8,8,7,2,2.5,2.5,3,3,3,0.5,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1394,21
7,12,20,19,9,6.5,6,5,4.5,5.5,6.5,7.5,9,9,9,9,9,9,9,2.5,3,4,4.5,3.5,2.5,1.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1394,25
9,9,21,15,0,5,5,5,4.5,5,5.5,5.5,7,8,8,8,8,7,7,2,3,3,3.5,3,1.5,1.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1394,33
9,11,21,19,11,6,5.5,5,4.5,6,6,6.5,8,8,8,8,9,9,9,2,2.5,3,3.5,3,3,2.5,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1394,49
5,12,16,16,10,5,5,5,4,4.5,5.5,6.5,7,8,8,8,7,8,8,2,3,3,4,2.5,2.5,1.5,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1394,89
9,10,14,12,10,5.5,5,5,4.5,5,6,6,9,8,9,8,9,9,9,3.5,3,4,3.5,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1394,100
3,10,19,15,7,4.5,4.5,5,4,5,5,5.5,5,7,9,9,10,9,7,0.5,2.5,4,5,5,4,1.5,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1394,126
