Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
2,11,19,10,10,5,5,5,5,6,6,5.5,9,9,10,10,9,10,10,4,4,5,5,3,4,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1396,9
8,11,11,14,6,5,5,4.5,4,5,5.5,6.5,9,9,10,10,9,9,10,4,4,5.5,6,4,3.5,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1396,10
7,12,19,15,7,5,5.5,5,5.5,6,5.5,4.5,7,8,6,5,6,8,8,2,2.5,1,0.5,0,2.5,3.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1396,22
10,12,18,16,3,6,5.5,5,5,5.5,6,5.5,8,7,8,8,8,9,8,2,1.5,3,3,2.5,3,2.5,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1396,43
8,7,16,17,7,5,4.5,5,5,5,5.5,6.5,7,8,8,8,8,8,9,2,3.5,3,3,3,2.5,2.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1396,51
11,14,21,17,11,6,5,5.5,4,5,6,6.5,8,8,8,8,8,8,7,2,3,2.5,4,3,2,0.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1396,55
8,13,12,15,8,5.5,5.5,6,4,5,5.5,6.5,6,9,9,8,6,8,7,0.5,3.5,3,4,1,2.5,0.5,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1396,61
10,10,20,17,12,6,4,4.5,5,5,5.5,6.5,10,10,10,10,10,10,10,4,6,5.5,5,5,4.5,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1396,63
10,10,17,18,9,5.5,5,4.5,4,5.5,5,3.5,9,10,10,10,10,10,9,3.5,5,5.5,6,4.5,5,5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1396,69
7,9,16,6,0,5,5,5,5,6,5.5,6,8,8,8,8,8,8,9,3,3,3,3,2,2.5,3,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1396,76
