Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
8,9,15,15,10,5,5,5.5,5,5.5,6,6.5,9,10,10,10,10,10,10,4,5,4.5,5,4.5,4,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1399,8
7,11,20,11,11,6,6,6,5.5,6,6.5,5.5,9,9,10,10,9,9,10,3,3,4,4.5,3,2.5,4.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1399,14
13,11,19,20,11,7.5,6.5,6.5,6,6.5,7,7,9,9,10,10,10,10,10,1.5,2.5,3.5,4,3.5,3,3,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1399,37
7,11,19,19,11,6.5,4.5,5,4,6,6,6.5,9,8,9,8,9,10,10,2.5,3.5,4,4,3,4,3.5,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1399,57
9,10,17,17,9,5.5,4,4,4,5,5,4.5,8,7,9,9,9,8,8,2.5,3,5,5,4,3,3.5,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1399,71
4,11,19,17,9,6,5.5,5.5,5.5,5.5,6,7,8,10,9,9,8,8,8,2,4.5,3.5,3.5,2.5,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1399,74
6,9,17,12,10,5,4.5,6,5,5,6.5,7.5,8,10,9,9,9,9,8,3,5.5,3,4,4,2.5,0.5,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1399,97
13,11,19,17,6,5.5,4.5,4.5,4,5,5,5.5,8,7,6,7,7,6,7,2.5,2.5,1.5,3,2,1,1.5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1399,103
9,9,16,12,10,5,5,4.5,4.5,5.5,5.5,5.5,9,9,10,10,8,10,9,4,4,5.5,5.5,2.5,4.5,3.5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1399,116
6,13,8,11,0,4,4,4,4,5,5,6.5,9,10,10,10,9,10,10,5,6,6,6,4,5,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1399,122
0,8,18,12,8,4.5,4,5,4.5,5,5,6,6,6,7,7,7,7,7,1.5,2,2,2.5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,141
0,0,0,14,11,4.5,5,5.5,4,4.5,5.5,6.5,8,7,8,8,8,9,9,3.5,2,2.5,4,3.5,3.5,2.5,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1399,184
8,9,15,9,8,5,4,4,4,5,4.5,6,8,7,7,6,8,9,9,3,3,3,2,3,4.5,3,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1399,188
11,11,16,16,9,6,6,6.5,5,5.5,6.5,7.5,9,10,10,10,10,10,9,3,4,3.5,5,4.5,3.5,1.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1399,211
6,9,16,17,7,5.5,4.5,5.5,4,5,5.5,6.5,8,10,10,10,8,9,9,2.5,5.5,4.5,6,3,3.5,2.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1399,216
