Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
6,10,20,16,10,6,6,5.5,5,6,6.5,4.5,8,8,9,10,8,8,9,2,2,3.5,5,2,1.5,4.5,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1403,17
8,13,16,17,11,5,5.5,4.5,5,6,6,6.5,10,9,10,9,10,10,10,5,3.5,5.5,4,4,4,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1403,18
6,8,18,14,9,5,4.5,4.5,4,5,5.5,5.5,8,8,8,8,8,9,8,3,3.5,3.5,4,3,3.5,2.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1403,23
11,12,23,19,9,5.5,4.5,4.5,4,4,4.5,4.5,6,6,7,7,6,8,8,0.5,1.5,2.5,3,2,3.5,3.5,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1403,24
10,10,18,18,9,5.5,4,4.5,4.5,5,5.5,6.5,8,8,8,9,7,9,9,2.5,4,3.5,4.5,2,3.5,2.5,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1403,29
10,9,18,17,9,6.5,6,5.5,4,4,6,5.5,9,9,10,10,9,9,7,2.5,3,4.5,6,5,3,1.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1403,32
6,12,19,12,7,5,5,5,4.5,5.5,6,6,7,7,7,8,8,8,8,2,2,2,3.5,2.5,2,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1403,45
11,13,16,21,10,6.5,6,5.5,4.5,5.5,5,5.5,8,7,9,9,8,8,9,1.5,1,3.5,4.5,2.5,3,3.5,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1403,62
9,12,20,15,8,6.5,5.5,5.5,4,4.5,6,5.5,5,5,5,5,4,8,7,1.5,0.5,0.5,1,0.5,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,79
9,6,19,6,0,3,3,3,3,3,4,4,4,5,4,4,5,6,5,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,95
11,11,18,16,11,6.5,5.5,6,5.5,6,6.5,8.5,9,9,10,10,9,10,10,2.5,3.5,4,4.5,3,3.5,1.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1403,96
11,9,17,16,7,6,6,6,6,6,6.5,5.5,9,10,10,10,9,10,10,3,4,4,4,3,3.5,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1403,99
7,7,15,18,9,6,5,6,5.5,6,6.5,8.5,8,9,9,9,8,8,8,2,4,3,3.5,2,1.5,0.5,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1403,108
6,11,17,16,10,5.5,4.5,6.5,5,5,6,8.5,8,8,8,8,8,9,8,2.5,3.5,1.5,3,3,3,0.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1403,112
3,9,20,16,10,6,5,6,5,6.5,5.5,5.5,9,10,9,10,9,10,9,3,5,3,5,2.5,4.5,3.5,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1403,113
8,3,22,5,9,5,5.5,5.5,5.5,6,6,5.5,6,6,6,6,6,6,5,1,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,121
8,9,13,13,8,4,3.5,3,3,3,4.5,5.5,7,8,8,8,7,8,8,3,4.5,5,5,4,3.5,2.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1403,131
6,11,14,17,12,6,4.5,4.5,4,4.5,5,6,6,7,5,5,5,6,6,0,2.5,0.5,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403,140
