Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
9,7,16,15,9,5,4,5,4,4.5,5,4.5,8,9,9,10,10,10,9,3,5,4,6,5.5,5,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1400,12
12,11,16,16,9,6.5,5,6,5,6.5,6.5,7.5,9,8,8,8,9,9,8,2.5,3,2,3,2.5,2.5,0.5,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1400,26
5,9,13,15,9,5.5,5,5,4.5,6,6,5.5,7,8,8,8,9,9,9,1.5,3,3,3.5,3,3,3.5,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1400,30
8,8,18,17,10,6.5,5.5,5.5,4.5,5,6,7,10,10,10,10,10,10,10,3.5,4.5,4.5,5.5,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1400,40
5,9,17,14,10,5,5,4.5,4.5,5.5,5.5,6,9,8,9,9,9,9,9,4,3,4.5,4.5,3.5,3.5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1400,46
7,10,15,13,10,4,4,3.5,4,4,4.5,3,4,4,3,3,5,5,4,0,0,0.5,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,83
11,13,17,16,10,7,6,6,6,7,6,6,9,9,10,9,9,9,10,2,3,4,3,2,3,4,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1400,85
9,10,18,13,8,6,5.5,5.5,6,6,6,4.5,10,9,8,8,10,10,10,4,3.5,2.5,2,4,4,5.5,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1400,90
10,11,19,11,9,5,4.5,5.5,4,4.5,5,6,9,8,9,8,7,8,8,4,3.5,3.5,4,2.5,3,2,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1400,106
11,10,20,18,9,4.5,4.5,5,4,5,5.5,6.5,8,9,9,9,10,10,9,3.5,4.5,4,5,5,4.5,2.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1400,117
