Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
7,10,16,13,12,6.5,5,6,5,6,6.5,6.5,10,10,10,10,10,9,10,3.5,5,4,5,4,2.5,3.5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1393,5
10,9,13,16,12,5,5,5,5,5,5.5,6.5,8,7,9,9,8,7,7,3,2,4,4,3,1.5,0.5,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1393,20
7,13,19,14,12,6,4.5,4,4,4,5,6,8,8,7,8,6,8,9,2,3.5,3,4,2,3,3,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1393,48
8,10,21,17,9,5,5,5.5,4.5,5,6,6.5,7,8,9,8,8,9,9,2,3,3.5,3.5,3,3,2.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1393,52
11,9,23,18,9,6,4.5,5,4,4,5,6.5,9,10,10,10,9,10,10,3,5.5,5,6,5,5,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1393,56
7,13,14,17,10,6.5,6,5,4.5,6,6,4.5,7,9,10,10,10,10,10,0.5,3,5,5.5,4,4,5.5,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1393,65
8,10,22,13,9,6.5,6,5.5,5,5,6,7,9,8,9,9,8,10,10,2.5,2,3.5,4,3,4,3,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1393,72
8,12,16,15,10,4.5,5,6,5,6,7,6,9,9,10,10,10,10,10,4.5,4,4,5,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1393,73
9,11,20,20,10,6,4.5,5,5,6,6,6.5,9,8,8,8,10,10,9,3,3.5,3,3,4,4,2.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1393,135
1,10,16,14,10,5,5,5.5,4.5,5,5,6,9,9,9,9,9,9,9,4,4,3.5,4.5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1393,138
6,5,14,15,7,5,5.5,5,4.5,6,6,6.5,9,10,10,10,10,9,9,4,4.5,5,5.5,4,3,2.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1393,148
8,11,15,14,10,5,4,5,4.5,4.5,5,6.5,9,10,10,10,9,9,10,4,6,5,5.5,4.5,4,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1393,152
7,9,15,1,7,4.5,5,5,5.5,6,6,7.5,9,9,9,9,9,8,9,4.5,4,4,3.5,3,2,1.5,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1393,183
14,12,19,10,0,5.5,5.5,5,5,5.5,5.5,8,10,9,10,10,10,10,10,4.5,3.5,5,5,4.5,4.5,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1393,195
7,11,15,15,7,5,5,5,4.5,5,5.5,5,10,9,9,9,9,10,10,5,4,4,4.5,4,4.5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1393,203
