Inference (Supplementary Test),Assumption Comprehension (Supplementary Test),Deduction (Supplementary Test),Interpretation (Supplementary Test),Evaluation of Arguments (Supplementary Test),Perceptive and Cognitive Skills (Test Score),Creative Decision-Making (Test Score),Management Ability (Test Score),Leadership of Individuals (Test Score),Communication Skills (Test Score),Individual Potential (Test Score),Technical Competence (Test Score),Perceptive and Cognitive Skills (Self-Assessment),Creative Decision-Making (Self-Assessment),Management Ability (Self-Assessment),Leadership of Individuals (Self-Assessment),Communication Skills (Self-Assessment),Individual Potential (Self-Assessment),Technical Competence (Self-Assessment),Error of Perceptive and Cognitive Skills (Self-Assessment),Error of Creative Decision-Making,Error of Management Ability ,Error of Leadership of Individuals,Error of Communication Skills,Error of Individual Potential,Error of Technical Competence,Critical Thinking,Creative Decision-Making,Leadership Training,Communication Skills,Technical Competence,Emotional Intelligence,Executive Function Training,Mindfulness and Metacognition,Empathy Development,Transformational Leadership,Assertiveness Training,Technical Skills Development,Multitasking and Task-Switching,Physical Exercise,Self-Regulation and Emotional Awareness,Social and Emotional Learning (SEL),Feedback Mechanisms,Emotional Regulation,Interpersonal Skills,Ongoing Education,Attention to Detail,Soft Skills Integration,Adaptive Leadership Training,Shamsi Year,person_id
8,11,14,11,6,5,5,6,4.5,6.5,6,6.5,8,8,7,8,7,8,9,3,3,1,3.5,0.5,2,2.5,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1398,6
11,11,16,13,10,6.5,5,5,5,6,6,6.5,8,9,7,9,9,9,8,1.5,4,2,4,3,3,1.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1398,15
12,11,19,15,13,6.5,5.5,5,5,6.5,6,6,9,9,9,9,9,9,9,2.5,3.5,4,4,2.5,3,3,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1398,38
8,12,17,18,10,6,5.5,5,4.5,5.5,5,4.5,8,7,8,8,9,9,9,2,1.5,3,3.5,3.5,4,4.5,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1398,67
8,11,19,13,9,5,4,5,4,5,5.5,7,9,8,9,9,9,8,9,4,4,4,5,4,2.5,2,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1398,78
8,11,14,19,8,6,5,5.5,4,4,5,5.5,8,7,8,7,7,7,8,2,2,2.5,3,3,2,2.5,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1398,80
7,7,20,15,8,5,5,4.5,4.5,5,6,6,8,8,8,8,7,8,7,3,3,3.5,3.5,2,2,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1398,88
10,11,15,17,11,3,4,4.5,3,4,5,5.5,4,4,6,6,7,6,5,1,0,1.5,3,3,1,0.5,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1398,93
7,10,18,17,8,5.5,4.5,5,4,4.5,5.5,7.5,8,9,8,9,8,8,9,2.5,4.5,3,5,3.5,2.5,1.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1398,102
9,13,13,14,8,5,4,4.5,4,5,5,6.5,9,9,7,8,8,10,8,4,5,2.5,4,3,5,1.5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1398,107
